Cartella;Istanza;Run;Metodo;Costo;Tempo_Metodo
n25;C204.txt;3;G1_Neigh1_Insertion;264.9000000000003;0.059762001037597656
n25;C204.txt;3;G1_Neigh2_OrOpt;524.6999999999999;0.0023632049560546875
n25;C204.txt;3;G1_Neigh3_Swap;517.5999999999999;0.0021123886108398438
n25;C204.txt;3;SA1_on_Neigh1;213.1;4.8697123527526855
n25;C204.txt;3;SA1_on_Neigh2;214.5;6.6621668338775635
n25;C204.txt;3;SA1_on_Neigh3;220.5;7.320752143859863
n25;C204.txt;3;GRASP_G1;214.49999999999991;12.25572156906128
n25;C204.txt;3;Tabu_G1;214.50000000000034;26.23310112953186
n25;C204.txt;3;VNS_G1;262.49999999999994;0.916348934173584
n25;C204.txt;3;Greedy_2;1273.0;0.00037860870361328125
n25;C204.txt;3;G2_Neigh1_Insertion;259.49999999999943;0.046425580978393555
n25;C204.txt;3;G2_Neigh2_OrOpt;1273.0;2.1696090698242188e-05
n25;C204.txt;3;G2_Neigh3_Swap;1273.0;9.942054748535156e-05
n25;C204.txt;3;SA2_on_Neigh1;216.4;5.00714898109436
n25;C204.txt;3;SA2_on_Neigh2;213.1;4.6910083293914795
n25;C204.txt;3;SA2_on_Neigh3;214.5;6.587038278579712
n25;C204.txt;3;GRASP_G2;214.49999999999955;11.950281858444214
n25;C204.txt;3;Tabu_G2;259.49999999999943;23.00256609916687
n25;C204.txt;3;VNS_G2;219.29999999999995;0.5044956207275391
n25;C204.txt;3;Memetic_Algorithm;214.49999999999986;25.611021518707275
n25;C208.txt;1;Greedy_1;305.3;0.0011954307556152344
n25;C208.txt;1;G1_Neigh1_Insertion;224.6000000000001;0.021462440490722656
n25;C208.txt;1;G1_Neigh2_OrOpt;297.40000000000003;0.001386880874633789
n25;C208.txt;1;G1_Neigh3_Swap;296.20000000000005;0.0008192062377929688
n25;C208.txt;1;SA1_on_Neigh1;214.5;2.0454678535461426
n25;C208.txt;1;SA1_on_Neigh2;214.5;2.03607177734375
n25;C208.txt;1;SA1_on_Neigh3;214.5;2.648235559463501
n25;C208.txt;1;GRASP_G1;214.49999999999991;6.21579384803772
